country,name,longName,foundingDate,population,capital,largestCity,area
3035,Pakistan,Islamic Republic of Pakistan,12/29/1930,199085847,Islamabad,Karachi,881918.3099999999km
3036,Pakistan,Islamic Republic of Pakistan,1/28/1933,199085847,Islamabad,Karachi,881918.3099999999km
3045,Palau,Republic of Palau,7/18/1947,17948,Ngerulmud,Koror,465.55249999999995km
3046,Palau,Republic of Palau,4/2/1979,17948,Ngerulmud,Koror,465.55249999999995km
3070,Papua New Guinea,Independent State of Papua New Guinea,7/1/1949,7059653,Port Moresby,Port Moresby,462840.76999999996km
3071,Papua New Guinea,Independent State of Papua New Guinea,9/16/1975,7059653,Port Moresby,Port Moresby,462840.76999999996km
3072,Paraguay,Republic of Paraguay,1811-05-14,7012433,Asunción,Asunción,406752km
3073,Paraguay,Republic of Paraguay,1811-05-15,7012433,Asunción,Asunción,406752km
3112,Peru,Republic of Peru,1821-07-28,31151643,Lima,Lima,1285222.75km
3113,Peru,Republic of Peru,1824-12-09,31151643,Lima,Lima,1285222.75km
3380,Puntland,Puntland Goverment,8/1/1998,4284633,Garoowe,Bosaso,212509.5km
3387,Qatar,State of Qatar,1878-12-18,2423175,Doha,Doha,11571.084km
3388,Qatar,State of Qatar,9/1/1971,2423175,Doha,Doha,11571.084km
3481,Lakotah,Republic of Lakotah,12/19/2007,100000,Republic of Lakotah,"Omaha, Nebraska",199999.8km
3522,the Republic of the Congo,Republic of the Congo,8/15/1960,4662446,Brazzaville,Brazzaville,342001.73km
3621,Rwanda,Republic of Rwanda,7/1/1962,11262564,Kigali,Kigali,26337.71km
3635,Sahrawi Arab Democratic Republic,Sahrawi Arab Democratic Republic,11/14/1975,100000,Laayoune,Laayoune,266000.76999999996km
3636,Sahrawi Arab Democratic Republic,Sahrawi Arab Democratic Republic,11/14/1975,100000,Tifariti,Laayoune,266000.76999999996km
3637,Sahrawi Arab Democratic Republic,Sahrawi Arab Democratic Republic,2/27/1976,100000,Laayoune,Laayoune,266000.76999999996km
3638,Sahrawi Arab Democratic Republic,Sahrawi Arab Democratic Republic,2/27/1976,100000,Tifariti,Laayoune,266000.76999999996km
3639,Saint-Barthélemy,Collectivity of Saint-Barthélemy,1784-07-01,9035,"Gustavia, Saint Barthélemy","Gustavia, Saint Barthélemy",24.604999999999997km
3675,Samoa,Independent State of Samoa,1889-06-14,194320,Apia,Apia,2841.23km
3676,Samoa,Independent State of Samoa,2/16/1900,194320,Apia,Apia,2841.23km
3706,Saudi Arabia,Kingdom of Saudi Arabia,9/23/1932,30770375,Riyadh,Riyadh,2149700.0km
3896,Somaliland,Republic of Somaliland,5/18/1991,4500000,Hargeisa,Hargeisa,137529.0km
3998,Palestine,State of Palestine,11/15/1988,4550368,Ramallah,Gaza City,6216.0km
3999,Palestine,State of Palestine,11/15/1988,4550368,Jerusalem,Gaza City,6216.0km
4000,Palestine,State of Palestine,11/15/1988,4550368,East Jerusalem,Gaza City,6216.0km
4001,Palestine,State of Palestine,11/29/2012,4550368,Ramallah,Gaza City,6216.0km
4002,Palestine,State of Palestine,11/29/2012,4550368,Jerusalem,Gaza City,6216.0km
4003,Palestine,State of Palestine,11/29/2012,4550368,East Jerusalem,Gaza City,6216.0km
4065,Suriname,Republic of Suriname,12/15/1954,573311,Paramaribo,Paramaribo,163820.09km
4066,Suriname,Republic of Suriname,11/25/1975,573311,Paramaribo,Paramaribo,163820.09km
4072,Swaziland,Kingdom of Swaziland,9/6/1968,1119000,Mbabane,Mbabane,17363.36km
4073,Swaziland,Kingdom of Swaziland,9/6/1968,1119000,Lobamba,Mbabane,17363.36km
4084,Switzerland,Swiss Confederation,1291-08-01,8211700,Bern,Zürich,41284.6km
4085,Switzerland,Swiss Confederation,1499-09-22,8211700,Bern,Zürich,41284.6km
4089,Syria,Syrian Arab Republic,3/8/1920,17064854,Damascus,Aleppo,185130.61km
4090,Syria,Syrian Arab Republic,12/1/1924,17064854,Damascus,Aleppo,185130.61km
4163,Taiwan,Republic of China,10/10/1911,23476640,Taipei,New Taipei City,36192.659999999996km
4164,Taiwan,Republic of China,1/1/1912,23476640,Taipei,New Taipei City,36192.659999999996km
4184,Tanzania,United Republic of Tanzania,12/9/1961,51820000,Dodoma,Dar es Salaam,947308.0399999999km
4185,Tanzania,United Republic of Tanzania,12/10/1963,51820000,Dodoma,Dar es Salaam,947308.0399999999km
4257,Togo,Togolese Republic,4/27/1960,7552318,Lomé,Lomé,56785.75km
4327,Turkmenistan,Turkmenistan,4/30/1918,5171943,Ashgabat,Ashgabat,488101.04km
4392,the United States,United States of America,1776-07-04,322369319,"Washington, D.C.",New York City,9857350.93km
4393,the United States,United States of America,1781-03-01,322369319,"Washington, D.C.",New York City,9857350.93km
4425,Uzbekistan,Republic of Uzbekistan,9/2/1920,31025500,Tashkent,Tashkent,447401.77999999997km
4432,Vanuatu,Republic of Vanuatu,7/30/1980,272264,Port Vila,Port Vila,12190km
4459,Vietnam,Socialist Republic of Vietnam,9/2/1945,91700000,Hanoi,Ho Chi Minh City,332983.35km
4460,Vietnam,Socialist Republic of Vietnam,4/30/1975,91700000,Hanoi,Ho Chi Minh City,332983.35km
4509,Wallis,Kingdom ofUvea,7/29/1961,10731,Mata-Utu,Capital city,77.5187km
4607,Yemen,Republic of Yemen,11/1/1918,25408000,Sana'a,Sana'a,527831.64km
4608,Yemen,Republic of Yemen,11/1/1918,25408000,Aden,Sana'a,527831.64km
4609,Yemen,Republic of Yemen,11/30/1967,25408000,Sana'a,Sana'a,527831.64km
4610,Yemen,Republic of Yemen,11/30/1967,25408000,Aden,Sana'a,527831.64km
4649,Zimbabwe,Republic of Zimbabwe,11/11/1965,12973808,Harare,Harare,390755.88999999996km
4650,Zimbabwe,Republic of Zimbabwe,4/18/1980,12973808,Harare,Harare,390755.88999999996km
